ObsID,Observer,Obs_code,DGRP,lunge_count,hold_count,aggr_dur_1male,total_wing_threat_dur,total_boxing_duration,total_tussling_duration,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
D4-002,J,D4-002-J,26,2,0,8.749,8.247,0,0,42.5,0.8247,0.8749
D4-098,J,D4-098-J,26,2,0,26.507,1.252,0.498,0,0,0.1252,2.7005
D6-133,J,D6-133-J,26,0,0,17.256,0,0.5,0,0,0,1.7756
D5-033,J,D5-033-J,26,1,0,11.756,2.25,0.751,0,0,0.225,1.2507
D1-050,J,D1-050-J,26,1,0,11.24,1.752,2.504,0,0,0.1752,1.3744
D6-085,J,D6-085-J,26,1,0,10.506,0,0.497,0,0,0,1.1003
D3-143,J,D3-143-J,26,0,0,8.751,0,0.499,0,0,0,0.925
D1-014,J,D1-014-J,26,0,0,8.75,0,0.75,0,0,0,0.95
D5-129,J,D5-129-J,26,1,0,6.503,0,0,0,0,0,0.6503
D4-050,A,D4-050-A,26,0,0,4.501,0,0,0,0,0,0.4501
D1-062,J,D1-062-J,26,1,0,4.255,11.747,0,0,0,1.1747,0.4255
D6-037,J,D6-037-J,26,1,0,3.508,1.249,0,0,0,0.1249,0.3508
D3-095,A,D3-095-A,26,3,0,2.954,3.997,0,0,0,0.3997,0.2954
D3-047,A,D3-047-A,26,1,0,1.499,59.75,0,0,0,5.975,0.1499
D1-002,J,D1-002-J,26,0,0,3.758,0,0,0,0,0,0.3758
D5-081,A,D5-081-A,26,0,0,0,0,0,0,0,0,0
D4-074,J,D4-074-J,45,22,0,102.248,10.755,90.995,0,0,1.0755,19.3243
D3-031,A,D3-031-A,45,33,0,32.002,28.259,6.499,0,0,2.8259,3.8501
D5-100,J,D5-100-J,45,27,0,29.512,29.504,0.499,0,0,2.9504,3.0011
D4-122,J,D4-122-J,45,2,0,14.249,10.748,0,0,0,1.0748,1.4249
D6-063,J,D6-063-J,45,6,0,14.014,1.504,1.254,0,0,0.1504,1.5268
D1-026,A,D1-026-A,45,0,0,5.25,33.01,0,0,0,3.301,0.525
D3-079,A,D3-079-A,45,3,0,2.008,56.122,0,0,0,5.6122,0.2008
D5-052,J,D5-052-J,45,0,0,1.999,0,0,0,0,0,0.1999
D1-037,A,D1-037-A,45,0,0,0,0,0,0,0,0,0
D1-074,A,D1-074-A,45,0,0,0,5.498,0,0,0,0.5498,0
D3-127,J,D3-127-J,45,0,0,7.004,2.496,0,0,0,0.2496,0.7004
D4-026,J,D4-026-J,45,18,0,29.498,9.492,4.75,0,0,0.9492,3.4248
D5-004,A,D5-004-A,45,14,0,16.243,125.506,0,0,0,12.5506,1.6243
D6-015,A,D6-015-A,45,15,0,14.994,19.169,1.998,0,0,1.9169,1.6992
D6-111,A,D6-111-A,45,1,0,0.994,8.75,0,0,0,0.875,0.0994
D4-099,J,D4-099-J,57,29,0,82.997,77.234,5.236,0,0,7.7234,8.8233
D3-013,J,D3-013-J,57,8,0,22.774,2.248,0,0,0,0.2248,2.2774
D6-031,J,D6-031-J,57,1,0,11.012,0,0,0,0,0,1.1012
D1-069,J,D1-069-J,57,0,0,10.762,2.499,0.499,0,0,0.2499,1.1261
D5-139,J,D5-139-J,57,1,0,6.991,72.999,0,0,0,7.2999,0.6991
D5-043,J,D5-043-J,57,1,0,4.002,10.497,0.999,0,0,1.0497,0.5001
D1-051,J,D1-051-J,57,0,0,3.507,2.501,0,0,0,0.2501,0.3507
D6-127,J,D6-127-J,57,0,0,3.255,1.997,0.504,0,0,0.1997,0.3759
D4-051,A,D4-051-A,57,0,0,1.997,1.497,0,0,0,0.1497,0.1997
D6-079,J,D6-079-J,57,0,0,0.502,30,0,0,0,3,0.0502
D1-003,J,D1-003-J,57,1,1,3.248,39.747,0,0,0,3.9747,0.3248
D3-061,J,D3-061-J,57,2,0,4.257,9.245,0,0,0,0.9245,0.4257
D3-109,J,D3-109-J,57,5,0,7.988,8.754,0,0,0,0.8754,0.7988
D4-003,J,D4-003-J,57,0,0,13.992,13.001,0,0,0,1.3001,1.3992
D5-091,A,D5-091-A,57,0,0,0,0,0,0,0,0,0
D4-076,J,D4-076-J,85,120,7,141.355,47.243,5.257,0,0,4.7243,14.6612
D4-124,J,D4-124-J,85,56,1,99.751,31.489,10.251,0,0,3.1489,11.0002
D3-094,A,D3-094-A,85,49,5,91.502,76.493,92.249,0,0,7.6493,18.3751
D3-046,A,D3-046-A,85,17,1,46.996,74.256,0,0,0,7.4256,4.6996
D3-142,J,D3-142-J,85,12,0,32.017,21.247,0,0,0,2.1247,3.2017
D6-047,J,D6-047-J,85,10,0,31.766,117.764,0,0,0,11.7764,3.1766
