Set,Rep ,Day,Arena,DGRP,Observation_title,Observation_order,video_file_name_convention,lunge_count,hold_count,tussle_count,court_dur_1m,court_dur_2males,aggr_dur_1male,aggr_dur_2males,wing_threat_dur,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
1,A,1,1,26,A-D1-001,1,DGRP m-m D1.01-02,2,1,0,10.333,0,43.265,0,0,0,0,4.3265
1,B,1,48,26,B-D1-048,34,M-M-D1-…,4,0,0,2.179,0.767,1.529,0,0,0,0,0.1529
1,B,1,27,26,B-D1-027,21,M-M-D1-…,6,0,0,14.239,0,17.331,0.574,0,5.052,0,1.7905
2,B,1,84,26,B-D1-084,46,M-M-D1-…,13,1,0,2.014,0,20.717,3.147,0.332,6.397,0.0332,2.3864
2,A,2,51,26,A-D2-051,70,DGRP m-m D2-…,20,2,0,33.231,0,17.915,6.125,0.751,0,0.0751,2.404
2,B,2,30,26,B-D2-030,75,M-M-D2-…,4,0,0,30.499,5.736,1.597,0,0,0,0,0.1597
3,B,2,94,26,B-D2-094,121,M-M-D2-…,27,0,0,32.705,1.033,15.53,0,5.4,0,0.54,1.553
3,B,2,38,26,B-D2-038,79,M-M-D2-…,0,0,0,2.298,0,0,0,0,10.529,0,0
3,A,3,41,26,A-D3-041,107,DGRP m-m D3-…,24,0,0,162.878,33.123,10.929,0,10.768,1.537,1.0768,1.0929
5,B,3,51,26,B-D3-051,173,M-M-D3-…,0,0,0,2.902,0,0,0,0,15.701,0,0
6,B,3,91,26,B-D3-091,199,M-M-D3-…,0,0,0,2.601,0,0,0,0,15.772,0,0
4,B,3,16,26,B-D3-016,139,M-M-D3-…,0,0,0,1.537,0,0,0,0,29.346,0,0
4,A,4,31,26,A-D4-031,146,DGRP m-m D4-…,8,0,0,15.852,0,5.374,4.336,7.583,0,0.7583,0.971
8,B,4,74,26,B-D4-074,281,M-M-D4-…,0,0,0,21.914,0,0,0,0,1.807,0,0
8,B,4,49,26,B-D4-049,261,M-M-D4-…,2,0,0,9.979,0.511,0.527,0,0,81.388,0,0.0527
7,B,4,21,26,B-D4-021,240,M-M-D4-…,0,0,0,0.768,0,0,0,0,84.971,0,0
5,A,5,21,26,A-D5-021,163,DGRP m-m D5-…,11,1,0,55.941,17.85,5.242,0.542,4.727,0,0.4727,0.5784
6,A,5,80,26,A-D5-080,204,DGRP m-m D5-…,16,0,0,12.37,0,9.339,0,1.535,0,0.1535,0.9339
10,B,5,54,26,B-D5-054,354,M-M-D5-…,0,0,0,9.902,0,0,0,0,14.441,0,0
9,B,5,21,26,B-D5-021,320,M-M-D5-…,6,0,0,18.651,0,3.818,0,4.864,23.734,0.4864,0.3818
11,B,5,93,26,B-D5-093,388,M-M-D5-…,1,0,0,54.163,0,0.5,0,0,71.501,0,0.05
7,A,6,11,26,A-D6-011,231,DGRP m-m D6-…,8,2,0,223.49,63.472,8.732,0,8.128,0,0.8128,0.8732
8,A,6,70,26,A-D6-070,266,DGRP m-m D6-…,0,0,0,25.816,0,0,0,0,0,0,0
12,B,6,2,26,B-D6-002,399,M-M-D6-…,0,0,0,15.588,1.291,0,0,0,33.377,0,0
9,A,7,1,26,A-D7-001,308,DGRP m-m D7-…,32,6,0,61.275,9.228,41.713,1.312,12.795,123.388,1.2795,4.3025
10,A,8,51,26,A-D8-051,365,DGRP m-m D8-…,11,0,0,45.117,2.143,6.523,0,2.09,0,0.209,0.6523
11,A,8,110,26,A-D8-110,397,DGRP m-m D8-…,24,0,0,65.59,0.773,20.317,0,9.004,28.705,0.9004,2.0317
12,A,9,31,26,A-D9-031,422,DGRP m-m D9-…,4,0,0,22.941,0.799,3.237,0,1.205,0,0.1205,0.3237
13,A,9,90,26,A-D9-090,446,DGRP m-m D9-…,3,0,0,12.695,0,2.149,0,3.452,13.055,0.3452,0.2149
1,A,1,14,177,A-D1-014,2,DGRP m-m D1.13-14,41,2,0,80.238,34.965,60.495,40.836,6.691,0,0.6691,10.1331
1,B,1,3,177,B-D1-003,6,M-M-D1-03-04,1,0,0,19.258,0,0.511,0,0,41.451,0,0.0511
2,A,2,5,177,A-D2-005,48,DGRP m-m D2-…,42,3,0,87.249,11.611,37.174,1.398,16.17,0,1.617,3.8572
3,B,2,49,177,B-D2-049,90,M-M-D2-…,0,0,0,10.65,0,0,0,0,0,0,0
3,B,2,70,177,B-D2-070,101,M-M-D2-…,14,0,0,56.739,1.6,5.071,0,0,7.199,0,0.5071
4,B,2,106,177,B-D2-106,125,M-M-D2-…,0,0,0,251.934,74.676,0,0,0,29.217,0,0
